id,realty_type,airbnb_neighborhood,ad_title,listing_obj_type,kicker_content_message,is_superhost,is_new_listing,guests,bedrooms,beds,bathrooms,extraction_date,lat,lon,city,base_price,price_iqr,n_price_obs,los3_share,review_count,bathrooms_num,distance_to_market_center_km,has_studio,has_loft,has_luxury,has_view,has_metro,has_parking,has_pool,has_gym,has_wifi,has_air_conditioning,has_beach,has_balcony,title_len,title_word_count,description_len,is_superhost_int,is_new_listing_int,market_segment,guests_model,bedrooms_model,beds_model,bathrooms_model,bath_per_bedroom,beds_per_guest,guests_per_bedroom
1068156879772177413,Entire rental unit,Jardim Paulista,52B Beautiful Apartment next to the subway near Av Paulista,REGULAR,Entire rental unit in Jardim Paulista,True,False,3,2,2.0,1,2026-02-01,-23.5605075,-46.6628939,São Paulo,296.0,43.60000000000002,54,0.4444444444444444,59,1.0,0.47021271423714145,0,0,0,0,1,0,0,0,0,0,0,0,59,10,37,1,0,urban_core,3,2,2.0,1.0,0.5,0.6666666666666666,1.5
1558082814819909139,Entire rental unit,São Paulo,"30 M2 - MUCH LARGER: Subway, Berrini and Vila Olimpia",REGULAR,Entire rental unit in São Paulo,False,False,2,1,1.0,1,2026-02-01,-23.6147673,-46.67945659999999,São Paulo,235.26666666666668,34.73333333333335,45,0.0,5,1.0,5.876641589393563,0,0,0,0,1,0,0,0,0,0,0,0,53,10,31,0,0,urban_core,2,1,1.0,1.0,1.0,0.5,2.0
851384279900168835,Entire rental unit,Pompéia,"Pompeii, a spacious and charming apartment!",REGULAR,Entire rental unit in Pompéia,True,False,4,2,3.0,1.5,2026-02-01,-23.5328911,-46.6907007,São Paulo,375.53333333333336,47.666666666666686,178,0.07303370786516854,41,1.5,4.608648286682845,0,0,0,0,0,0,0,0,0,0,0,0,43,6,29,1,0,urban_core,4,2,3.0,1.5,0.75,0.75,2.0
1521721025727495645,Entire rental unit,São Paulo,Panoramic Studio - Comfort Studios Republica VI,REGULAR,Entire rental unit in São Paulo,True,False,2,1,1.0,1,2026-02-01,-23.54333959427976,-46.64374980424696,São Paulo,242.7333333333333,19.933333333333366,54,0.4444444444444444,26,1.0,2.972456254832551,1,0,0,0,0,0,0,0,0,0,0,0,47,7,31,1,0,urban_core,2,1,1.0,1.0,1.0,0.5,2.0
978014535814678784,Entire rental unit,Riviera De Sao Lourenco,"Apartment 50 meters from the beach, 3 bedrooms",REGULAR,Entire rental unit in Riviera De Sao Lourenco,False,False,8,3,4.0,3,2026-02-01,-23.80765,-46.03327,São Paulo,1984.8666666666663,28116.533333333333,48,0.0625,9,3.0,69.44937860756237,0,0,0,0,0,0,0,0,0,0,1,0,46,8,45,0,0,beach_premium,8,3,4.0,3.0,1.0,0.5,2.6666666666666665
1522713435598108338,Entire rental unit,São Paulo,Studio Design SP c/ Varanda,REGULAR,Entire rental unit in São Paulo,True,False,3,2,2.0,1,2026-02-01,-23.5947868,-46.6185242,São Paulo,340.6666666666667,13.333333333333371,15,1.0,13,1.0,5.522832502786802,1,0,0,0,0,0,0,0,0,0,0,1,27,5,31,1,0,urban_core,3,2,2.0,1.0,0.5,0.6666666666666666,1.5
1496358118774831555,Entire rental unit,Vila Madalena,StuDiO BOHO - Vila Madalena - Pool & Subway,REGULAR,Entire rental unit in Vila Madalena,False,False,2,1,1.0,1,2026-02-01,-23.5485312,-46.6930331,São Paulo,361.0,116.0,15,1.0,3,1.0,3.6733026495705365,1,0,0,0,1,0,1,0,0,0,0,0,43,9,35,0,0,urban_core,2,1,1.0,1.0,1.0,0.5,2.0
1257867381733671759,Entire rental unit,Barra Funda,Apartment inside Allianz Parque.,REGULAR,Entire rental unit in Barra Funda,False,False,6,2,6.0,2,2026-02-01,-23.52814260015379,-46.67856316646774,São Paulo,1363.9333333333334,11.066666666666606,30,0.5,3,2.0,4.404887926839189,0,0,0,0,0,0,0,0,0,0,0,0,32,4,33,0,0,urban_core,6,2,6.0,2.0,1.0,1.0,3.0
1487078268228956202,Entire rental unit,São Paulo,Apartamento funcional e moderno,REGULAR,Entire rental unit in São Paulo,True,False,3,1,2.0,1,2026-02-01,-23.62624955953453,-46.7236441495208,São Paulo,442.66666666666663,354.6666666666667,6,1.0,6,1.0,9.336359042353378,0,0,0,0,0,0,0,0,0,0,0,0,31,4,31,1,0,urban_core,3,1,2.0,1.0,1.0,0.6666666666666666,3.0
35769168,Entire rental unit,Riviera de São Lourenço,Spectacular 4 bedrooms  4 bathrooms  11 people,REGULAR,Entire rental unit in Riviera de São Lourenço,True,False,11,4,9.0,4,2026-02-01,-23.79741,-46.00907,São Paulo,2641.3333333333335,2393.5,12,1.0,87,4.0,71.30677891703986,0,0,0,0,0,0,0,0,0,0,1,0,46,7,45,1,0,beach_premium,11,4,9.0,4.0,1.0,0.8181818181818182,2.75
1197208300301002429,Entire rental unit,Riviera De Sao Lourenco,Apartamento 4 dorm Acqua Riviera,REGULAR,Entire rental unit in Riviera De Sao Lourenco,False,False,8,4,6.0,3,2026-02-01,-23.80359,-46.02865,São Paulo,1897.8,1040.2666666666669,123,0.024390243902439025,15,3.0,69.7104999691239,0,0,0,0,0,0,0,0,0,0,1,0,32,5,45,0,0,beach_premium,8,4,6.0,3.0,0.75,0.75,2.0
1537084360273264887,Entire rental unit,Suzano,"Studio Luxo-Ar Condicionado, Centro da cidade Ap 7",REGULAR,Entire rental unit in Suzano,True,False,3,1,1.0,1,2026-02-01,-23.54712963442617,-46.31556370155359,São Paulo,273.70000000000005,23.399999999999977,272,0.04411764705882353,7,1.0,35.31522242551318,1,0,1,0,0,0,0,0,0,1,0,0,50,8,28,1,0,urban_core,3,1,1.0,1.0,1.0,0.3333333333333333,3.0
